Province,Year,GRDP Capita,GRDP Employed,Health Complaint,Formal Sector,Unemployed Percent,HDI,Gov Spending,Gov CapEx,Poverty,Gini,Decent Sanitation,Clean Water,HS Graduation,Agriculture,Life Expectancy,GRDP Nominal,Population Thousand
NUSA TENGGARA BARAT,2015,18475.14,38.9976946578414,34.87,0.268,5.335,65.19,15166.61,3158.41,16.82,0.364,63.72,71.7,51.83,22480.15599,65.425,105664742.46,4846.7
NUSA TENGGARA BARAT,2016,19305.79,41.1791415462214,34.64,0.2689,3.8,65.81,17375.06,3650.43,16.25,0.362,70.31,73.98,55.01,24661.772646,65.47,116464762.18,4896.2
NUSA TENGGARA BARAT,2017,19091.26,39.0386471146506,30.89,0.2638,3.59,66.58,20234.99,4628.11,15.56,0.3745,69.25,70.48,59.1,27183.243874,65.495,123822764.66,4955.6
NUSA TENGGARA BARAT,2018,18020.5,36.1928551290397,38.62,0.2819,3.43,67.3,20385.98,4021.46,14.69,0.3815,73.7,73.61,52.6,29088.8100148664,65.815,123868015.43,5013.7
NUSA TENGGARA BARAT,2019,18219.11,36.9735487264604,44.39,0.2898,3.215,68.14,21184.11,4098.16,14.22,0.377,80.02,93.93,57.6,30364.747674474,66.24,132500099.76,5070.4
NUSA TENGGARA BARAT,2020,17583.11,36.5190113872264,44,0.2653,3.63,68.25,20165.39,2755.42,14.1,0.381,82.89,94.13,64.66,30976.8418472484,66.51,133613744.17,5320.1
NUSA TENGGARA BARAT,2021,17706.29,36.1715307536389,42.15,0.2611,3.49,68.65,20487.56,2797.22,13.985,0.3825,82.85,94.6,65.71,31960.4061184161,66.735,140153319.13,5390
NUSA TENGGARA TIMUR,2015,11087.91,24.3595644860792,37.03,0.214,3.475,62.67,19979.65,4382.45,22.595,0.3435,23.9,62.72,37.78,22752.4464119832,66,76120790.89,5126.1
NUSA TENGGARA TIMUR,2016,11468.79,25.3127777839045,31.81,0.252,3.42,63.13,24103.87,5478.74,22.1,0.349,40.46,60.04,48.95,24309.2827475937,66.045,83742790.3,5203.5
NUSA TENGGARA TIMUR,2017,11863.41,25.8895399802461,34.86,0.2414,3.24,63.73,25344.36,5040.32,21.615,0.359,45.31,65.2,41.44,26147.6991346462,66.08,90758927.03,5287.3
NUSA TENGGARA TIMUR,2018,12273.85,24.2842069836826,37.71,0.2435,2.835,64.39,26052.58,4802.65,21.19,0.355,50.72,72.41,43.41,28035.0920870423,66.395,98930187.65,5371.5
NUSA TENGGARA TIMUR,2019,12761.98,25.8684030741299,40.39,0.2774,3.06,65.23,27845.86,5292.96,20.855,0.3575,64.55,82.35,43.85,29804.4887772787,66.895,106731763.32,5456.2
NUSA TENGGARA TIMUR,2020,12960.95,24.7091315807617,34.44,0.239,3.46,65.19,27332.42,4298.75,21.055,0.355,69.7,83.87,50.65,30355.0894337932,67.055,106480968.02,5325.6
NUSA TENGGARA TIMUR,2021,13092.38,25.3415528587159,30.14,0.2403,3.575,65.28,26719.3,4044.27,20.715,0.3425,73.36,85.4,44.88,32343.3783129271,67.195,110885751.03,5387.7
KALIMANTAN BARAT,2015,23456.52,49.7705681938499,25.62,0.3444,4.965,65.59,20182.88,4555.77,8.235,0.332,39.78,68.39,35.69,30127.0348373003,69.92,146653547.21,4795.5
KALIMANTAN BARAT,2016,24308.85,51.2697890830215,24.93,0.3819,4.405,65.88,22538.02,5483.47,7.935,0.336,52.06,66.19,35.69,32627.5623819065,69.94,161364237.45,4861.7
KALIMANTAN BARAT,2017,25198.01,51.8006879964057,24.5,0.3857,4.29,66.26,23828.52,5466.27,7.87,0.328,49.65,68.77,42.7,36026.7461247226,69.95,177493653.83,4932.5
KALIMANTAN BARAT,2018,26110.57,51.547808205174,28.68,0.4045,4.135,66.98,24182.51,4810.37,7.57,0.332,53.97,72.88,47.66,39178.0201286061,70.21,194138220.75,5001.7
KALIMANTAN BARAT,2019,27199.78,53.8986231300949,27.52,0.3989,4.205,67.65,25599.52,5091.94,7.385,0.324,72.08,77.07,49.29,42624.2612839018,70.61,212150332.22,5069.1
KALIMANTAN BARAT,2020,24953.61,53.2285674155639,25.84,0.3699,5.14,67.66,24826.92,3990.55,7.205,0.321,75.81,78.83,55.23,44753.6273044009,70.735,214001753.68,5414.4
KALIMANTAN BARAT,2021,25807.4,55.7083372849636,21.32,0.3913,5.775,67.9,26117.75,4670.5,6.995,0.314,78.39,78.76,54.27,49126.0746725642,70.805,231321163.28,5470.8
KALIMANTAN TENGAH,2015,31619.18,63.2329679053946,25.39,0.4556,3.84,68.53,17630,5089.59,5.925,0.313,35.88,57.01,47.28,23015.5423715629,69.58,100063520.14,2497.3
KALIMANTAN TENGAH,2016,32899.58,67.7337509051997,25.47,0.4135,4.245,69.13,19041.42,5271.95,5.51,0.3385,50.97,61.26,52.42,24532.0706338468,69.585,111967018.47,2550.2
KALIMANTAN TENGAH,2017,34370.63,67.4349378064586,25.7,0.4567,3.68,69.79,19240.76,4588.43,5.315,0.335,45.46,63.9,56.48,26374.0319129272,69.595,125817074.16,2605.3
KALIMANTAN TENGAH,2018,35548.43,69.6809506297103,28.17,0.4763,3.525,70.42,20425.63,4734.98,5.135,0.343,52.55,65.38,53.47,27685.0002516516,69.645,138616134.66,2660.2
KALIMANTAN TENGAH,2019,37870.47,73.3313152304417,27.14,0.4898,3.625,70.91,21609.29,4840.84,4.895,0.3375,69.23,73.27,50.01,30128.3328344236,69.695,150046095.64,2714.9
KALIMANTAN TENGAH,2020,37148.73,72.1556439800046,26.44,0.442,3.955,71.05,20594.66,3941.06,5.04,0.3245,72.31,74.91,60.77,32990.9073433296,69.75,152187394.25,2670
KALIMANTAN TENGAH,2021,37856.42,75.570707366732,22.57,0.445,4.39,71.25,20733.81,3810.78,5.16,0.3215,73.77,77.05,61.04,38111.8864542909,69.805,170001210.89,2702.2
KALIMANTAN SELATAN,2015,27786.68,56.3186902640391,39.27,0.4148,4.875,68.38,21657.71,6080.31,4.855,0.3435,60.13,62.23,44.85,20559.2670178055,67.84,137056121.37,3990.7
KALIMANTAN SELATAN,2016,28540.05,58.5202788500771,34.35,0.3781,4.54,69.05,23236.43,6408.49,4.685,0.3415,60.89,58.63,52.91,21793.5609555008,67.88,146090434.69,4055.5
KALIMANTAN SELATAN,2017,29578.79,58.6849440376944,33.45,0.3898,4.15,69.65,22629.32,5033.99,4.715,0.347,58.09,60.62,56.75,23171.0756800169,67.965,159104554.99,4119.8
KALIMANTAN SELATAN,2018,30614.85,60.0160748683704,33.26,0.3992,4.035,70.17,22957.18,4531.48,4.595,0.342,62.76,62.67,61.09,24458.1958678003,68.175,171684055.9,4182.7
KALIMANTAN SELATAN,2019,31611.46,60.8161909713746,35.07,0.4318,3.795,70.72,26125.86,5789.96,4.51,0.332,76.56,69.45,59.52,25837.6103105835,68.5,180557639.22,4244.1
KALIMANTAN SELATAN,2020,32210.58,59.8613338514772,34.88,0.3918,4.205,70.91,25101.25,4126.63,4.605,0.3415,81.17,70.36,63.05,25787.6387196762,68.69,179094106.63,4073.6
KALIMANTAN SELATAN,2021,32846.66,64.4572331193055,32.02,0.4037,4.64,71.28,25292.58,4400.78,4.695,0.3275,81.43,76.4,63.59,26827.758808714,68.88,192576581.16,4122.6
KALIMANTAN TIMUR,2015,128603.13,287.91254895658,21.98,0.6034,7.335,74.17,38115.59,13080.3,6.165,0.3155,68.83,78.13,67.56,38979.2355564812,73.705,505105062.08,3431.3
KALIMANTAN TIMUR,2016,125385.5,291.865036130449,21.76,0.5525,8.405,74.59,28184.68,7054.85,6.055,0.3215,76.76,78.93,66.76,41847.4367840992,73.72,508880236.5,3501.2
KALIMANTAN TIMUR,2017,126625.19,294.889003931489,23.92,0.5996,7.73,75.12,26422.78,5342.67,6.135,0.3315,72.83,82.75,67.72,47211.9135379375,73.74,591903487,3575.4
KALIMANTAN TIMUR,2018,127354.19,273.536472102418,27.81,0.5884,6.6,75.83,30825.74,7535.2,6.045,0.342,79.19,81.26,68.73,50147.9937523561,74,635498679.83,3648.8
KALIMANTAN TIMUR,2019,134410.55,274.655543718676,27.28,0.5824,6.295,76.61,37475.53,9344.15,5.925,0.3325,89.27,83.54,64.74,51899.6467208372,74.27,652480257.35,3721.4
KALIMANTAN TIMUR,2020,125807.52,256.432349955638,22.65,0.5286,6.795,76.24,33970.7,7477.51,6.37,0.3315,89.17,85.51,71.63,53468.7493059588,74.375,607586183.05,3766
KALIMANTAN TIMUR,2021,127171.08,275.498135453897,21.32,0.5351,6.82,76.88,34207.41,7428.35,6.405,0.3325,89.77,85.8,74.26,58922.8999038435,74.65,695158330.32,3808.2
KALIMANTAN UTARA,2015,76823.46,182.667144672119,23.65,0.5682,5.735,68.76,8591.32,2820.99,6.28,0.304,48.4,84.59,47.64,10599.1100967158,72.375,61722392.31,644.5
KALIMANTAN UTARA,2016,76635.46,185.370442764108,22.38,0.5698,4.575,69.2,8401.05,2409.11,6.61,0.3025,64.68,82.69,58.6,11568.4584689885,72.395,66041813.24,666.3
KALIMANTAN UTARA,2017,78918.57,177.177326549972,28.41,0.5776,5.355,69.84,7786.9,1964.51,7.09,0.3105,66.59,83.78,57.43,12548.1960937089,72.42,76927567.04,691.1
KALIMANTAN UTARA,2018,80204.84,177.218289912377,31.09,0.5705,4.905,70.56,7533.81,1653.25,6.975,0.3035,71.75,88.3,58.22,13754.1491046139,72.445,85548942.68,716.4
KALIMANTAN UTARA,2019,88299.52,189.009807998277,27.84,0.5331,5.165,71.15,7801.22,1538.01,6.56,0.296,77.2,87.9,61.1,15312.9118111336,72.485,96509929.57,742.2
KALIMANTAN UTARA,2020,86823.59,183.083557166323,26.04,0.4907,5.34,70.63,8421.25,1648.03,7.105,0.296,82.09,89.5,67.77,16567.0286371221,72.535,100509859.57,701.8
KALIMANTAN UTARA,2021,88510.41,189.359587181955,25.18,0.4926,4.625,71.19,7977.26,1240.56,7.095,0.2885,79.8,86.8,62.3,18082.2452283722,72.585,110668941.63,713.6
SULAWESI UTARA,2015,29196.47,65.3499280574204,27.31,0.4045,8.86,70.39,13835.51,3548.22,8.815,0.367,66.79,71.53,55.5,19769.2083890948,71.03,91145677.83,2409.7
SULAWESI UTARA,2016,30679.97,68.5047009107735,25.79,0.3868,7,71.05,16117.54,4285.03,8.27,0.3825,75.27,70.22,72.33,21828.4411703374,71.04,100513842.9,2436.9
SULAWESI UTARA,2017,32297.08,67.2504317330154,26.67,0.4454,6.65,71.66,16593.35,3986.21,8,0.395,71.93,73.29,67.46,23713.1727347269,71.06,110116731.84,2461
SULAWESI UTARA,2018,33911.61,70.0950718383274,29.01,0.4439,6.235,72.2,16789.76,3404.71,7.695,0.383,75.23,76.2,70.02,25037.167682492,71.28,119512683.97,2484.4
SULAWESI UTARA,2019,35687.44,77.4272344826746,28.85,0.4519,5.59,72.99,17503.16,3268.38,7.585,0.373,82.36,90.81,67.58,27101.9852838976,71.63,130126510.04,2507
SULAWESI UTARA,2020,33670.44,75.0708734578234,24.98,0.3954,6.355,72.93,17236.43,2899.7,7.7,0.369,85.49,90.31,73.79,28471.8326493068,71.745,132230056.87,2621.9
SULAWESI UTARA,2021,34787.33,80.5485980877031,22.09,0.393,7.17,73.3,1663.05,2760.88,7.565,0.362,84.85,91.65,68.56,30059.5655861581,71.805,142600019.59,2638.6
SULAWESI TENGAH,2015,28778.64,59.8208434308655,29.21,0.3337,3.545,66.76,15074.08,3300.97,14.365,0.372,55.37,61.49,45.84,33643.7414071495,67.3,107573474.42,2878
SULAWESI TENGAH,2016,31151.08,63.0705340595679,26.14,0.3355,3.375,67.47,17410.22,4063.14,14.27,0.3545,59.94,62.15,61.79,35538.2784581898,67.335,120030006.75,2921.7
SULAWESI TENGAH,2017,32860.48,64.5194734250209,29.8,0.3194,3.39,68.11,17962.03,3798.58,14.18,0.35,61.12,67.1,62.73,38822.5500773969,67.345,133951156.97,2966.3
SULAWESI TENGAH,2018,39049.35,75.7688064572058,31.44,0.3334,3.245,68.88,18252.57,3357.72,13.85,0.3315,64.15,71.13,53.84,41722.83102,67.805,167135768.77,3010.4
SULAWESI TENGAH,2019,42054.5,84.0215917236125,32.32,0.3703,3.285,69.5,20051.4,4273.37,13.33,0.33,71.95,83.42,52,43091.99048,68.29,185740087.21,3054
SULAWESI TENGAH,2020,45052.32,86.1721357734685,26.16,0.3263,3.35,69.55,20990.65,3265.28,12.99,0.3235,74.61,84.6,57.68,42961.6904,68.745,197440782.72,2985.7
SULAWESI TENGAH,2021,49588.29,98.8023092671213,25.72,0.3268,3.74,69.79,20104.45,2866.09,12.59,0.321,76.06,88.51,61.16,46611.09903,68.88,246987356.72,3021.9
SULAWESI SELATAN,2015,29435.92,70.8971901387369,26.3,0.3695,5.88,69.15,33586.35,7547.11,9.755,0.414,72.36,72.07,50.85,78781.7643866881,69.845,340390214.27,8520.8
SULAWESI SELATAN,2016,31302.53,75.2106497788779,23.58,0.3511,4.955,69.76,38848.46,9477.57,9.32,0.413,76.51,73.42,59.56,88344.954523921,69.89,377108906.54,8606.4
SULAWESI SELATAN,2017,33234.11,75.9755982745336,24.7,0.3763,5.19,70.34,40456.35,8644.31,9.43,0.418,76.73,76.34,63.82,96109.8709089737,69.91,415588200.98,8690.3
SULAWESI SELATAN,2018,35243.64,73.6801924798376,29.32,0.3668,4.99,70.9,41656.24,7832.45,8.965,0.3925,79.61,77.93,56.86,104097.067559818,70.15,461774735.78,8772
SULAWESI SELATAN,2019,37474.29,79.2166727769786,30.12,0.3945,4.86,71.66,42962.09,7824.08,8.625,0.3905,87.8,89.38,60.97,107655.081324198,70.48,504320725.1,8851.2
SULAWESI SELATAN,2020,36246.26,79.3041563619825,28.91,0.3578,6.005,71.93,42320.19,6811.54,8.855,0.3855,88.96,90.84,66.22,109460.083022144,70.62,504059368.35,9073.5
SULAWESI SELATAN,2021,37573.32,82.216651539456,28.03,0.3676,5.755,72.24,42156.81,6618.84,8.655,0.3795,91.57,91.18,69.43,122974.952558591,70.71,545230029.06,9139.5
SULAWESI TENGGARA,2015,29202.7,64.8398468751443,25.86,0.3048,4.585,68.75,14239.14,4421.64,13.32,0.39,63.62,77.19,61.52,21076.0292793942,70.48,87714475.09,2502.7
SULAWESI TENGGARA,2016,30476.39,66.664476475728,26.84,0.3147,3.25,69.31,16969.84,5385.43,12.825,0.395,68.26,75.82,67.12,23581.1422075909,70.505,96994760.52,2551
SULAWESI TENGGARA,2017,31894.42,67.9292690713685,24.1,0.3629,3.22,69.86,17862.75,4810.4,12.39,0.399,69.52,79.83,67.75,25869.1378556232,70.52,107423447.82,2602.4
SULAWESI TENGGARA,2018,33278.66,67.7931859248802,27.81,0.3691,2.98,70.61,18160.81,4529.73,11.475,0.4005,69.9,80.95,67.67,28293.343265787,70.77,118066606.72,2653.7
SULAWESI TENGGARA,2019,35309.9,71.7881439968126,28.48,0.3745,3.2,71.2,19882.1,5241.62,11.14,0.3965,79.75,89.66,64.26,30660.9015388158,71.16,129225147.5,2704.7
SULAWESI TENGGARA,2020,35709.02,70.7004889962231,29.23,0.3541,3.84,71.45,19571.59,4358.99,11.345,0.3885,82.38,92.49,68.28,31419.7477384117,71.34,130178026.09,2624.9
SULAWESI TENGGARA,2021,36581.89,73.5144412863616,25.8,0.3719,4.07,71.66,20224.47,5181.78,11.7,0.392,85.62,91.94,70.65,33091.1582574974,71.36,139057828.16,2659.2
GORONTALO,2015,19474.13,42.6296248698538,37.43,0.3714,3.855,65.86,6081.02,1320.68,18.24,0.4105,54.96,66.47,44.67,10542.8632929203,67.17,28493416.95,1133.6
GORONTALO,2016,20427.46,43.4073537389968,33.69,0.3969,3.32,66.29,6829.37,1361.54,17.675,0.4145,59.85,71.59,50.79,11799.3116065532,67.19,31697555.69,1150.8
GORONTALO,2017,21477.78,44.1308874852912,34.43,0.3949,3.965,67.01,7218.4,1270.25,17.395,0.4175,58.75,75,55.3,13127.2677954097,67.21,34537683.34,1168.2
GORONTALO,2018,22538.55,43.4659016329439,36.95,0.3822,3.54,67.71,7637.81,1325.66,16.32,0.41,64.3,78.99,52.39,14580.0243149139,67.52,37731386.37,1185.5
GORONTALO,2019,24167.56,45.8943927744102,36.97,0.4134,3.505,68.49,8090.3,1338.82,15.415,0.41,74.57,94.19,50.87,16018.133057399,67.975,41145449.91,1202.6
GORONTALO,2020,24313.24,49.0836323167299,32.19,0.3788,3.785,68.68,7619.61,1054.57,15.405,0.407,75.68,94.16,55.35,16188.1231304081,68.115,41729772.04,1171.7
GORONTALO,2021,24649.65,49.7414775171942,31.06,0.3761,3.21,69,7858.45,1200.41,15.51,0.4085,78.58,94.57,53.73,17085.4643121865,68.24,43896365.58,1181
SULAWESI BARAT,2015,20250.51,40.8239369506769,29.6,0.2632,2.58,62.96,6381.74,1807.03,12.15,0.3625,51.21,53.89,39.29,13850.6378663832,64.27,32987549.91,1281.7
SULAWESI BARAT,2016,21067.91,44.1025704845956,26.73,0.2985,3.025,63.6,7451.32,2231.09,11.465,0.3675,59.81,58.99,53.45,14907.5872380935,64.345,35945201.73,1306.5
SULAWESI BARAT,2017,22001.01,47.029487393217,25.74,0.3158,3.095,64.3,7642.12,1977.59,11.24,0.3465,59.48,60.66,56.17,16400.3692978424,64.375,39497407.1,1331
SULAWESI BARAT,2018,22953.08,46.6211196719125,29.47,0.2531,2.67,65.1,7594.61,1666.16,11.235,0.368,63.21,62.98,37.65,18324.0249445174,64.615,43457831.66,1355.6
SULAWESI BARAT,2019,24163.56,48.2440248536616,26.77,0.2809,2.135,65.73,8320.94,1834.57,10.985,0.3675,73.39,71.5,48.2,19241.0999851149,64.87,46365789.57,1380.3
SULAWESI BARAT,2020,22652.43,47.4786582387226,26.29,0.2737,2.855,66.11,7868.75,1420.64,11.185,0.36,77.07,72.75,56.6,19950.970131929,65.11,46427581.98,1419.2
SULAWESI BARAT,2021,22879.78,47.3811792318901,25.86,0.272,3.205,66.36,7708.83,1339.13,11.57,0.361,80.12,78.35,56.22,21978.1664960547,65.29,50341228.8,1436.8
MALUKU,2015,14740.38,37.4802627773983,17.59,0.3198,8.325,67.05,10987.51,2908.52,19.435,0.339,60.02,64.96,58.59,8276.6493593234,65.345,34345956.2,1690.3
MALUKU,2016,15321.18,38.5301500059369,17.67,0.3576,7.015,67.6,12861.06,3482.12,19.22,0.346,66.81,67.2,72.87,8844.7869810684,65.39,37054407.62,1715.5
MALUKU,2017,15942.45,39.2099013058194,19.09,0.3718,8.53,68.19,13620.84,3223.99,18.37,0.332,63.29,68.34,73.58,9491.96611770777,65.44,39881545.47,1744.7
MALUKU,2018,16607.02,38.7707110103214,19.99,0.3563,7.01,68.87,13946.63,3193.26,17.985,0.3345,69.05,76.47,66.42,10044.6344240978,65.63,43047090.66,1773.8
MALUKU,2019,17556.86,41.0921700491659,19.37,0.3802,6.65,69.45,14064.7,2842.29,17.67,0.32,70,90.83,67.82,10777.4235504446,65.87,46152817.52,1802.9
MALUKU,2020,16687.79,41.663813847731,18.55,0.3344,7.14,69.49,13373.23,2428.86,17.715,0.322,75.06,91.68,70.55,11103.0201844083,66.025,46262452.53,1848.9
MALUKU,2021,17019.39,40.6487703463398,16.42,0.3559,6.83,69.71,13736.4,2825.19,17.085,0.315,76.77,93.21,68.12,11280.0224716304,66.14,48564217.18,1862.6
MALUKU UTARA,2015,17533.78,41.5795588307301,16.71,0.314,5.805,65.91,8875.91,2456.71,6.53,0.283,59.17,60.07,57.12,6617.00339774645,67.49,26638303.08,1167.1
MALUKU UTARA,2016,18177.3,42.0609114536078,16.25,0.3597,3.72,66.63,10084.76,2875.84,6.37,0.2975,64.71,62.99,64.87,7276.31933096046,67.515,29150600.99,1185.9
MALUKU UTARA,2017,19192.97,43.7717028651388,16.04,0.3805,5.075,67.2,10692.81,2666.75,6.395,0.3235,66.18,65.73,65.14,7728.31012077345,67.545,32272571.55,1209.3
MALUKU UTARA,2018,20309.45,42.033890615529,19.94,0.3308,4.595,67.76,11046.33,2583.21,6.63,0.332,66.96,69.17,60.07,8242.1982762297,67.805,36468794.7,1232.6
MALUKU UTARA,2019,21524.99,48.5825785658053,17.99,0.3831,4.885,68.7,12029.57,3194.09,6.84,0.31,72.52,85.04,59.13,8700.46398210479,68.21,39695490.69,1255.8
MALUKU UTARA,2020,21906.6,50.4599555019314,15.97,0.3387,4.62,68.49,11620.86,2559.09,6.875,0.299,75.99,86.9,66.52,8902.20567921208,68.375,42319470.43,1282.9
MALUKU UTARA,2021,25104.43,58.3994520692662,15.66,0.3644,4.885,68.76,12056.77,2868.31,6.635,0.289,77.11,88.66,66.95,9399.7395781135,68.495,52359851.79,1299.2
PAPUA BARAT,2015,60064.13,134.555387177951,20.39,0.3945,6.345,61.73,20110.39,6642.71,25.775,0.434,62.81,68.85,55.24,6834.46621097774,65.23,62888029.78,876
PAPUA BARAT,2016,61242.01,132.893721957191,18.86,0.4057,6.595,62.21,20631.24,5954.42,25.155,0.387,64.55,68.76,56.12,7293.01755856313,65.24,66631075.64,893.4
PAPUA BARAT,2017,62169.96,139.303770810027,20.71,0.409,7.005,62.99,20926.55,4676.73,24.11,0.3885,65.3,73.12,62.81,7910.36323595707,65.265,71785929.73,915.4
PAPUA BARAT,2018,64499.45,140.347241544189,23.65,0.457,6.36,63.74,21254.51,5297.01,22.835,0.3925,73.95,77.12,60.47,8331.31042413797,65.5,79644584.97,937.5
PAPUA BARAT,2019,64418.52,143.770556326301,25.11,0.4775,6.12,64.7,26003.94,6223.66,21.84,0.3855,76.39,81.85,50.95,8954.29483345091,65.895,84356967.99,959.6
PAPUA BARAT,2020,54487.7,136.819309530737,21.43,0.4202,6.79,65.09,26212.93,5680.09,21.535,0.379,78.71,79.56,61.49,9067.56721785498,66.05,83588641.76,1134.1
PAPUA BARAT,2021,52979.33,133.267968470721,20.74,0.4208,6.01,65.26,22003.65,5218.39,21.83,0.377,77.89,81.68,59.08,9341.53847349927,66.19,85072858.48,1156.8
PAPUA,2015,41376.97,79.1659127600077,17.79,0.1851,3.855,57.25,45735.48,13639.23,28.285,0.4065,28.04,51.27,28.23,20004.0008597659,65.135,150307284.32,3153.8
PAPUA,2016,44342.14,84.0855149187198,16.64,0.2163,3.16,58.05,49349.89,12536.72,28.47,0.3945,31.43,52.69,35.69,21308.4472752257,65.215,173208859.7,3207.4
PAPUA,2017,45577.05,88.351497106666,16.53,0.2181,3.79,59.09,49176.39,9608.32,27.69,0.3975,33.06,59.09,33.82,22274.7463926117,65.225,188938078.74,3265.2
PAPUA,2018,48069.41,87.7640364449246,17.6,0.2189,2.875,60.06,51086.73,10129.62,27.585,0.391,33.75,58.35,29.56,23754.007686468,65.445,210600573.21,3322.5
PAPUA,2019,40203.42,76.1024581613148,15.2,0.2071,3.365,60.84,51993.33,9839.85,27.04,0.3905,38.27,60.85,27.44,24177.2302927236,65.69,189510696.13,3379.3
PAPUA,2020,32108.51,77.6302704802534,16.27,0.2008,3.85,60.44,47564.27,6401.15,26.72,0.3935,40.31,62.73,30.92,24457.0932411,65.835,199232884.44,4303.7
PAPUA,2021,36416.72,89.9573718225025,12.74,0.1953,3.55,60.62,50333.46,7063.85,27.12,0.3965,40.81,64.92,32.95,25516.4395377103,65.97,235343249.91,4355.4
